"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" truepenny?";"provisional";"Nicholas Udall";"Roister Doister";"Udall, Nicholas.  Ralph Roister Doister. Ed. Walter Wilson Greg. London: Malone Society, 1935. Quoted in: Sayre Greenfield. ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008) 510-534.";"1552";"1552";"1552";"1552";"English";"<span class=""quote"">Truepenny</span>";"** This comedy was first performed in London.";"#008000 LONDON_Unknown venue";"@000234 Roister Doister";"Keyword";"NaMa#030074 Truepenny";"Work unmarked";"Author unmarked";"Comedy";"";"Dialogue";"CHARACTERNAME";"Local reference";"Secondary (Academic_Shakespeare)";"@010005
Greenfield, Sayre. ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008): 510-534.";"<span class=""quote"">Truepenie</span>";"";"  Hohl Regula"
" Good my lord, put your discourse into some frame and";"provisional";"Thomas Wilson";"The Art of Rhetoric";"Wilson, Thomas.  The arte of rhetorique for the vse of all suche as are studious of eloquence, sette forth in English, by Thomas Wilson. London: Richard Grafton, 1553.  A2 recto [normalized spelling].";"1553";"1553";"1553";"1553";"English";"Then his sentences must be <span class=""quote"">well framed </span>and his words aptly used <span class=""quote"">through the whole discourse of his Oracion.</span>";"";"";"@005036 The Art of Rhetoric";"";"SuId#030133 framed discourse";"Work unmarked";"Author unmarked";"Nonfiction unspecified";"Linguistics";"Not defined";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010152/@006323-Last accessed 20 February 2020.
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944. ";"Then his sentences must be <span class=""quote"">wel framed </span>and his wordes aptly used <span class=""quote"">through the whole discourse of his Oracion.</span>";"Wilson, Thomas.  The arte of rhetorique for the vse of all suche as are studious of eloquence, sette forth in English, by Thomas Wilson. London: Richard Grafton, 1553.  A2 recto.";"  Hohl Regula"
" And by opposing end them? To die: to sleep;";"provisional";"Marcus Tullius Cicero / John Dolman";"Those Five Questions (Tusculanae)";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  G6 recto-G6 verso and H8 recto [normalized spelling].";"1561";"1561";"1561";"1561";"English";"If my sense shall be extinct, and <span class=""quote"">my death resemble sleep, </span>which often without any trouble of dreams, doth bring a man most quiet rest, (O Lord) what pleasure shall death be to me! [...] But if those things be true which are written, namely that <span class=""quote"">death is a departure into those regions, </span>which all they inhabit, that are departed out of this life, then do I account my chance far better, for that, after that I have escaped the hands of you, which sit here in place and name of judges, I shall then come to them which are the true judges, Minos, Rhadamanthus, Aecus, and Triptolemus, and shall there have the company and communication of them which have lived uprightly in the faith and fear of god. This ought to seem a sweet pilgrimage. <br><br>

But <span class=""quote"">if death do utterly destroy us, what can be better, then in the rage of great storms, sweetly to slumber? </span>and after that a man hath nodded out of this life, to sleep everlastingly. ";"** A translation of Marcus Tullius Cicero's <i>Tusculanae disputationes</i>.";"";"@005030 Those Five Questions (Tusculanae)";"";"SuId_NatLan_AbsDea#030087 undiscovered country";"Work unmarked";"Author unmarked";"Nonfiction unspecified";"";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010043";"If my sense shall be extinct, and <span class=""quote"">my death resemble sleep, </span>which often without any trouble of dreams, doth bring a man most quiet rest, (O Lorde) what pleasure shall death be to me! [...] But if those thynges be true whiche are wryten, namely that <span class=""quote"">death is a departure into those regioons, </span>which all they inhabite, that are departed out of this life, then do I accoumpte my chauunce farre better, for that, after that I haue escaped the handes of you, whiche syt here in place and name of iudges, I shall then come to them whiche are the true iudges, Minos, Rhadamanthus, Aecus, and Triptolemus, & shall there haue the companye and communication of them whych haue liued vpryghtly in the faythe and feare of god. This oughte to seeme a sweete pilgrymage. <br><br>

But <span class=""quote"">if death do vtterlye destroye vs, what can be better, then in the rage of great stormes, swetely to slumber? </span>and after that a man hath nodded oute of this lyfe, to sleepe euerlastingly. ";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  G6 recto-G6 verso and H8 recto.";"  Hohl Regula"
" To be, or not to be: that is the question:";"provisional";"Marcus Tullius Cicero / John Dolman";"Those Five Questions (Tusculanae)";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B6 verso [normalized spelling].";"1561";"1561";"1561";"1561";"English";"Perchance I have not told you all that I think; for <span class=""quote"">not to be when you have been, </span>I think is the greatest misery that may be. ";"";"";"@005030 Those Five Questions (Tusculanae)";"";"WoSn#030065 to x or not to x";"Work unmarked";"Author unmarked";"Nonfiction unspecified";"Philosophy, religion";"First-person narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010043/@010042/@006323-Last accessed 20 February 2020.

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript article. <br>
Velz, John V. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"Perchaunce I have not tolde you all that I thinke; for <span class=""quote"">not to be when you have bene, </span>I thinke is the greatest misery that may be. ";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B6 verso.";"  Hohl Regula"
" To be, or not to be: that is the question:";"provisional";"Marcus Tullius Cicero / John Dolman";"Those Five Questions (Tusculanae)";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 recto [normalized spelling]. ";"1561";"1561";"1561";"1561";"English";"[...] <span class=""quote"">they be not as they have been</span> [...].";"";"";"@005030 Those Five Questions (Tusculanae)";"";"WoSn#030065 to x or not to x";"Work unmarked";"Author unmarked";"Nonfiction unspecified";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010042/@010043

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript.<br>
Velz, John V. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"[...] <span class=""quote"">they be not as they have bene</span> [...].";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 recto. ";"  Hohl Regula"
" To be, or not to be: that is the question:";"provisional";"Marcus Tullius Cicero / John Dolman";"Those Five Questions (Tusculanae)";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 verso.";"1561";"1561";"1561";"1561";"English";"[...] whatsoever you do so pronounce must not <span class=""quote"">either be or not be.</span>";"";"";"@005030 Those Five Questions (Tusculanae)";"";"WoSn#030065 to x or not to x";"Work unmarked";"Author unmarked";"Nonfiction unspecified";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010043/@010042/@006323-Last accessed 20 February 2020.

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript.<br>
Velz, John W. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"";"";"  Hohl Regula"
" So I do still, by these pickers and stealers.";"provisional";"_ Anon";"The Book of Common Prayer";"Anon.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  328 [normalized spelling].";"1562";"1562";"1562";"1562";"English";"Keep my hands from <span class=""quote"">picking and stealing, </span>and my tongue from evil speaking, lying and slandering.";"";"";"@005043 The Book of Common Prayer";"";"WoTo#030135 picking and stealing";"Work unmarked";"Author unmarked";"Pamphlet or liturgical text";"Philosophy, religion";"First-person narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010030/@006323-Last accessed 20 February 2020.
Shaheen, Naseeb.  Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"Kepe my handes from <span class=""quote"">picking and stealing, </span>and my tongue from evill speaking, lying and slandring.";"Thomas Cranmer,  ed. The booke of the common prayer and administracion of the sacramentes : and other rites and ceremonies of the Churche : after the vse of the Churche of England. London: Edouardi Whitechurche 1549.  326.";"  Hohl Regula"
" I should be greeted, if not from Lord Hamlet.";"unedited";"_ Anon";"The Book of Common Prayer";"Anon.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  356; section ""Burial Service"" [normalized spelling].";"1562";"1562";"1562";"1562";"English";"[...] <span class=""quote"">we therefore commit this body to the ground earth to earth, ashes to ashes, dust to dust, </span> [...].";"";"";"@005043 The Book of Common Prayer";"";"WoPh#230118 ashes to ashes";"Work unmarked";"Author unmarked";"Pamphlet or liturgical text";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010151";"[...] <span class=""quote"">we therefore committe this bodie to the ground earth to earthe, ashes to ashes, duste to dust, </span> [...].";"Anon.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  356; section ""Burial Service"".";"  Hohl Regula"
" I should be greeted, if not from Lord Hamlet.";"provisional";"_ Anon";"The Book of Common Prayer";"Church of England.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  360; section ""Burial Service"" [normalized spelling].";"1562";"1562";"1562";"1562";"English";"[...] <span class=""quote"">delivered from the burden of the flesh </span>[...] </span class=""quote"">in joy and felicity.</span>";"";"";"@005043 The Book of Common Prayer";"";"WoPh#032169 felicity";"Work unmarked";"Author unmarked";"Pamphlet or liturgical text";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010030
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"[...] deliuered from the burden of the flesh [...] in ioy and felicitie";"Church of England.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  360; section ""Burial Service"".";"  Hohl Regula"
" Or to take arms against a sea of troubles,";"provisional";"_ Anon";"The Book of Common Prayer";"Church of England.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cawood, 1562.  310; section ""Publique Baptism"" [normalised spelling].";"1562";"1562";"1562";"1562";"English";"[...] May so pass <span class=""quote"">the waves of this troublesome world</span> [...].";"";"";"@005043 The Book of Common Prayer";"";"WoPh#030067 sea of troubles";"Work unmarked";"Author unmarked";"Pamphlet or liturgical text";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010082/@006323-Last accessed 20 February 2020.
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"May so passe <span class=""quote"">the waues of this troublesome world</span>";"Church of England.  ""Publique Baptism"". The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cavvood, 1562.  308-316.  310.";"  Hohl Regula"
