"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" Let them come in.";"provisional";"_ Anonymous";"The Murder of Abel";"Anon.  ""The Murder of Abel."" <i>The Towneley Plays. </i>Eds. Martin Stevens and A.C. Cawley. Early English Text Society. Oxford: Oxford University Press, 1994. Vol. 1, 12–25.  21 [normalized spelling].";"1300";"1400";"1300";"1400";"English";"<span class=""quote"">[Cain kills Abel </span>with a] <span class=""quote"">cheekbone </span>[...].";"";"";"@005231 The Murder of Abel";"";"NaMa#005172 Cain kills Abel with cheekbone";"Work by character";"Author unmarked";"Other dramatic genre";"";"Dialogue";"BODY OF TEXT";"";"Shakespeare Studies / morethanonelexia";"@010030/@006286-26./@010200-47.
Shaheen, Naseeb Azeez.  Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987.";"[Cain kills Abel with a] <span class=""quote"">cheke bone</span>[...].";"Anon.  ""The Murder of Abel."" <i>The Towneley Plays. </i>Eds. Martin Stevens and A.C. Cawley. Early English Text Society. Oxford: Oxford University Press, 1994. Vol. 1, 12-25.  21.";"   Hohl-Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"Thomas Usk";"The Testament of Love";"Usk, Thomas.  ""The Testament of Love."" <i>The workes of Geffray Chaucer newlye printed, wyth dyuers workes whych were neuer in print before: as in the table more playnly doth appere. Cum priuilegio ad imprimendum solum. </i>London: Richard Grafton for William Bonham, 1542.  Ppp6 recto-Qqq5 verso [normalized spelling].";"1384";"1389";"1384";"1387";"English";"Also furthermore, who the understanding of prescience properly considereth through the same wise that anything be before wist, is said for to be coming it is pronounced there is nothing to forewist, but things coming, foreweting is but of truth doubt may not be wist, wherefore when I say the god to forewot anything, thorough necessity is that thing to be coming, all is one if I say if it shall be: but this necessity neither constraineth ne defendeth anything <span class=""quote"">to be or not to be </span>Therefore soothly if love is put to be, it is said of necessity to be, or else for it is put not to be it is affirmed not to be of necessity: not for the necessity constraineth or defendeth love to be or not to be [...].<br>

[Chapter 8] Than if witting and beforewitting of God putteth in necessity to all things which he wot or before wot ne thing after eternity, or else after any time he will or doth of liberty but all of necessity, which thing if thou wene it be against reason not through necessity <span class=""quote"">to be or not to be</span>, all things that God wot or before wot, <span class=""quote"">to be or not to be, </span>and yet nothing defendeth anything to be wist or to be before wist of him in our wills or our doings to be done, or else coming to be for free arbitrement.";"";"";"@005232 The Testament of Love";"";"WoSn#030065 to be or not to be";"Work unmarked";"Author unmarked";"Other nonfiction";"";"Narrator";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010154/@010005
Greenfield, Sayre.  ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105:3 (2008): 510-534.<br>
Davenport, A.  ""Shakespeare and Nashe's  Pierce Pennilesse'."" Notes and Queries (September 1953): 371-374.";"Also ferthermore, who yt vnderstandyng of presciēce proprelyche cōsydreth thorow the same wyse that any thyng be afore wyst, is sayd for to be cōmyng it is pronoūced, there is nothing to forn wyst, but thyng cōmyng, forewetinge is but of trouth doute may not be wyst: wherfore whā I sey yt god toforne wot any thyng, thorow necessitie is thilke thyng to be cōmyng, al is one if I sey if it shalbe: but this necessitie neither cōstrayneth ne defēdeth any thing <span class=""quote"">to be or not to be </span>Therfore sothly yf loue is put to be, it is said of necessitie to be, or els for it is put not to be it is affirmed not to be of necessite: not for ye necessite cōstraineth or defēdeth loue to be or not to be [...].<br>

[Chapter 8] Thā yf wetyng & be∣fore wetyng of God putteth in necessite to al thinges whiche he wotte or before wotte ne thyng after eternitie, or els after any time he woll or dothe of libertie but all of necessitie, which thing if thou wene it be ayenst reason not thorowe necessitie <span class=""quote"">to be or not to be</span>, all thynge that God wot or before wot, <span class=""quote"">to be or not to be, </span>& yet nothyng defendeth any thing to be wyst or to be before wyst of hym in our wylles or oure doinges to be done, or els cōmynge to be for fre arbitriment. ";"Usk, Thomas.  ""The Testament of Love."" The workes of Geffray Chaucer newlye printed, wyth dyuers workes whych were neuer in print before: as in the table more playnly doth appere. Cum priuilegio ad imprimendum solum. London: Richard Grafton for William Bonham, 1542.  Ppp6 recto-Qqq5 verso.";"   Hohl-Trillini Regula"
" In my mind's eye, Horatio.";"provisional";"Geoffrey Chaucer";"The Canterbury Tales";"Chaucer, Geoffrey.  ""The Canterbury Tales."" <i>The Riverside Chaucer. </i>Gen. ed. Larry D. Benson. Oxford: Oxford University Press; London: Humphrey Milford, 1933. 3-328.  95; ""The Man of Law's Tale"", lines 547-553 [normalized spelling].";"1387";"1387";"1390";"1390";"English";"But yet never Christian Britons so exiled <br>
That there near some that in their privacy <br>
Honoured Christ and heathen folk beguiled<br>
And near the castle such there dwelt three. <br>
That one of hem was blind and might not see, <br>
But it were <span class=""quote"">with the eye of their mind</span> <br>
With which men see, after that they [have] been blind.";"";"";"@005229 The Canterbury Tales";"";"WoPh#030118 mind's eye";"Work unmarked";"Author unmarked";"Epic and verse narrative";"";"Narrator";"BODY OF TEXT";"Local reference";"Fulltext database";"@010077-Last accessed 2 November 2007.
OED - Oxford English Dictionary (OED) http:/dictionary.oed.com/entrance.dtl ";"But yet nere Cristene Britons so exiled <br>
That ther nere somme that in hir priveteee <br>
Honoured Crist and hethen folk bigiled, <br>
And ny the castel swiche ther dwelten three. <br>
That oon of hem was blynd and myghte nat see, <br>
But it were <span class=""quote"">with thilke eyen of his mynde</span> <br>
With whiche men seen, after that they ben blynde.";"Chaucer, Geoffrey.  ""The Canterbury Tales."" <i>The Riverside Chaucer.</i> Gen. ed. Larry D. Benson. Oxford: Oxford University Press; London: Humphrey Milford, 1933. 3-328.  95; ""The Man of Law's Tale"", lines 547-553.";"   Hohl-Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"Henry Parker";"Dives and Pauper";"Parker, Henry.  <i>Diues and pauper. </i>London: Wynkyn de Worde, 1496.  V1 recto; commandment 8, chapter 4, line 5 [normalized spelling].";"1470";"1470";"1493";"1493";"English";"For it is ordained that man by his speech should show things <span class=""quote"">to be or not to be </span>as he feeleth and thinketh in his heart [...].";"";"";"@005233 Dives and Pauper";"";"WoSn#030065 to be or not to be";"Work unmarked";"Author unmarked";"Devotional text or pamphlet";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Fulltext database";"@010048
EEBO";"For it is ordeyned that man by his speche sholde shewe thynge <span class=""quote"">to be or not to be </span>as he feleth and thynketh in his hert [...].";"Parker, Henry.  Diues and pauper. London: Wynkyn de Worde, 1496.  V1 recto; commandment 8, chapter 4, line 5.";"   Hohl-Trillini Regula"
" Let them come in.";"provisional";"Baptista Mantuanus";"Adolescentia";"Mantuanus, Baptista.  <i>Baptistae Mantuani Carmelitae adolescentia, seu bucolica, brevibus Iod. Badii illustrata. </i>London: R.B., 1649.  38.";"1500";"1500";"1500";"1500";"Latin";"<span class=""quote"">Tunc omnis spargatur humus, redolentia serta <br>
Texite, quae circa tumulum, supraqùe iacentem<br>
componantur heram.</span>";"";"";"@005421 Adolescentia";"";"SuId#004112 violets grow from maidens corpse";"Work unmarked";"Author unmarked";"Poetry unspecified";"";"Narrator";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010152-1:649.";"";"";"   Hohl-Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"William Painter";"The Palace of Pleasure Part 2";"Painter, William.  <i>The second Tome of the Palace of Pleasure, conteyning store of goodly Histories, Tragicall matters, and other Morall argument, very requisite for delighte and profit. Chosen and selected out of diuers good and commendable Authors. </i>London: Henry Bynneman, 1567.  274; tome 2, novella 27 ""The Lorde of Uirle"" [normalized spelling]. ";"1567";"1567";"1567";"1567";"English";"Be sure madame that you shall shortly see the end of him, which attendeth yet to bear so much as in him doth lie, the vehement love into another world, which maketh me to pray you to have pity on him, who (attending the rest and final sentence of his death or life) doth humbly kiss your white and delicate hands, beseeching god to give to you like joy as his is, who desireth to be,"" <br>
Wholly yours, <span class=""quote"">or not to be at all. </span><br>
Philiberto of Uirle.";"";"";"@005112 The Palace of Pleasure Part 2";"";"WoSn#030065 to be or not to be";"Work unmarked";"Author unmarked";"Prose unspecified";"";"Fictional letter or diary";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010020/@006146/@006323-Last accessed 20 February 2020.";"Be sure madame that you shall shortly see the end of him, which attendeth yet to beare so much as in him doeth lie, the vehement loue into an other world, which maketh me to pray you to haue pitie on him, who (attending the rest and final sentence of his death or life) doth humbly kisse your white and delicate hands, beseeching god to giue to you like ioy as his is, who desireth to be,"" <br>
Wholy yours, <span class=""quote"">or not to be at all. </span><br>
Philiberto of Uirle.";"Painter, William.  The second Tome of the Palace of Pleasure, conteyning store of goodly Histories, Tragicall matters, and other Morall argument, very requisite for delighte and profit. Chosen and selected out of diuers good and commendable Authors. London: Henry Bynneman, 1567.  [274] ZZZ2 verso; tome 2, novel 27 ""The Lorde of Uirle"". ";"   Hohl-Trillini Regula"
" Why, then, 'tis none to you; for there is nothing";"provisional";"William Baldwin";"A Treatise of Moral Philosophy";"Baldwin, William.  <i>A treatice of moral philosophy contaynynge the sayinges of the wise, wherin you may se the woorthy and pithy sayings of philosophers, emperors, kynges, and oratours [...]. First gathered [and] set forth by Wylliam Baudwin, and nowe once againe augmented, [and] ye third tyme enlarged by Thomas Paulfreyman, one of the gentlemen of the Queenes maiesties chappell [...]. </i>London: Richard Tottyll, 1571.  218 recto [normalized spelling]. ";"1567";"1567";"1567";"1567";"English";"<span class=""quote"">Nothing unto a man is miserable, if he so think it: for all Fortune is good to him, that constantly with patience suffereth it.</span><br> <span class=""quote"">
Plato.</span>";"";"";"@005113 A Treatise of Moral Philosophy";"";"SuMe#032175 good or bad if you think so / NaHu#007071 Plato";"Work unmarked";"Author name";"Anthology";"";"";"ANTHOLOGY ENTRY";"MQ_GENRE";"Shakespeare Studies / morethanonelexia";"@010152/@006323-Last accessed 20 February 2020.
Baldwin, Thomas Whitfield.  William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944.";"<span class=""quote"">Nothing vnto a man is miserable, if he so thinke it: for all Fortune is good to hym, that constantlye with pacience suffereth it.</span><br> Plato.";"Baldwin, William.  A treatice of moral philosophy. contaynynge the sayinges of the wise, wherin you may se the woorthy and pithy sayings of philosophers, emperors, kynges, and oratours [...]. First gathered [and] set forth by Wylliam Baudwin, and nowe once againe augmented, [and] ye third tyme enlarged by Thomas Paulfreyman, one of the gentlemen of the Queenes maiesties chappell [...]. London: Richard Tottyll, 1571.  218 recto.";"   Hohl-Trillini Regula"
" The pith and marrow of our attribute.";"provisional";"Sir Henry Billingsley";"The Elements of Geometry of Euclid";"Billingsley, Sir Henry.  <i>Euclid. The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age [...]. </i>London: John Day, 1570.  232; book 10 [normalized spelling].";"1570";"1570";"1570";"1570";"English";"These irrational lines and figures are the chiefest matter and subject, which is entreated of in all this tenth book: the knowledge, of which is deep, and secret, and pertaineth to the highest and most worthy part of Geometries, wherein standeth <span class=""quote"">the pith and marrow </span>of the whole science: the knowledge hereof bringeth light to all the books following, with out which they are hard and cannot be at all understood. ";"";"";"@005095 The Elements of Geometry of Euclid";"";"WoPh#030339 pith and marrow";"Work unmarked";"Author unmarked";"Other nonfiction";"Sciences, engineering, IT";"Narrator";"BODY OF TEXT";"";"Fulltext database";"@010077
OED";"These irrationall lines and figures are the chiefest matter and subject, which is entreated of in all this tenth booke: the knowledge, of which is deepe, and secret, and pertaineth to the highest and most worthy part of Geometries, wherein standeth <span class=""quote"">the pith and mary </span>of the hole science: the knowledge hereof bringeth light to all the bookes following, with out which they are hard and cannot be at all understoode. ";"Billingsley, Sir Henry.  <i>Euclid. The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age [...]. </i>London: John Day, 1570.  232; book 10.";"   Hohl-Trillini Regula"
" Why, any thing, but to the purpose. You were sent";"provisional";"Laurence Twyne / Thomas Twyne";"The Pattern of Painful Adventures";"Twyne, Laurence and Thomas Twyne.  <u>The patterne of painefull aduentures: containing the most excellent, pleasant and variable historie of the strange accidents that befell vnto Prince Apollonius, the Lady Lucina his wife, and Tharsia his daughter. Wherein the vncertaintie of this world, and the fickle state of mans life are liuely described. Gathered into English by Laurence Tvvine gentleman. </i>London: Valentine Simmes for E.N., 1594.  B2 recto; chapter 1 [normalized spelling].";"1570";"1579";"1594";"1594";"English";"Now when Fame had blown abroad the possibility to obtain this Lady, such was the singular report or her surpassing beauty, that many kings and men of great nobility repaired thither. And if haply any through skill, or learning had found out the solution of the king's question, notwithstanding he was beheaded as though he had <span class=""quote"">answered nothing to the purpose: </span>and his head was set up at the gate to terrify others that should come, who beholding there the present image of death, might advise them from essaying any such danger.";"";"";"@005096 The Pattern of Painful Adventures";"";"WoPh#032261 answer to the purpose";"Work unmarked";"Author unmarked";"Prose unspecified";"";"Narrator";"BODY OF TEXT";"Local reference";"Fulltext database";"@010001
LION";"Now when Fame had blowen abroade the possibilitie to obtaine this Ladie, such was the singular report or her surpassing beautie, that many kings and men of great nobility repaired thither. And if haply any through skill, or learning had found out the solution of the kings question, notwithstanding hee was beheaded as though hee had answered nothing to the purpose: and his head was set vp at the gate to terrifie others that should come, who beholding there the present image of death, might aduise them from assaying anie such danger.";"Twyne, Laurence and Thomas Twyne.  <i>The patterne of painefull aduentures: containing the most excellent, pleasant and variable historie of the strange accidents that befell vnto Prince Apollonius, the Lady Lucina his wife, and Tharsia his daughter. Wherein the vncertaintie of this world, and the fickle state of mans life are liuely described. Gathered into English by Laurence Tvvine gentleman. </i>London: Valentine Simmes for E.N., 1594.  B2 recto; chapter 1.";"Tranter Maria"
" beautified Ophelia,'--";"provisional";"John Jewel";"On the State of Matrimony";"Jewel, John.  The Two Books of Homilies. Appointed to Be Read in Churches. Ed. John Griffiths. Oxford: Oxford University Press, 1859.  500-515, esp. 506; homily 18 ""On the State of Matrimony"".";"1571";"1571";"1571";"1571";"English";"""O woman, do thou the like [obey your husband], and so
shalt thou be most excellently <span class=""quote"">beautified </span>before GOD.""";"";"";"@005037 The Two Books of Homilies";"";"WoMo#030217 beautified";"Work unmarked";"Author unmarked";"Speech or sermon";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Shakespeare Studies";"@010064
Rosinger, Lawrence. ""Hamlet and the Homilies."" Shakespeare Quarterly 26.3 (Summer 1975): 299-301.";"";"";"   Hohl-Trillini Regula"
