"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" The pith and marrow of our attribute.";"provisional";"William Tyndale";"An Answer to Sir Thomas More's Dialogue";"Tyndale, William.  An answere vnto Sir Thomas Mores dialoge made by Vvillyam Tindale. First he declareth what the church is, and geveth a reason of certayne wordes which Master More rebuketh in the tra[n]slacion of the newe Testament. After that he answereth particularlye vnto everye chaptre which semeth to haue anye apperaunce of truth thorow all his .iiij. bokes Antwerp: S. Cock, 1531.  101 verso [normalized spelling].";"1531";"1531";"1531";"1531";"English";"And when he will have the prestes to live chaste for reverence of the sacraments it is devilish doctrine having the similitude of godliness but <span class=""quote"">the pith and marrrow </span>is away.";"";"";"@005024 An Answer to Sir Thomas More's Dialogue";"";"WoPh#030339 pith and marrow";"Work unmarked";"Author unmarked";"Pamphlet or liturgical text";"Philosophy, religion";"Narrator";"BODY OF TEXT";"Local reference";"Electronic search (Fulltext database_Literature)";"@010048
EEBO";"And when he wyll haue the prestes to liue chaste / for reuerence off the sacramentes yt ys deuellish doctrine hauinge the similitude of godlynesse / but <span class=""quote"">the pith and mary </span>is awaye. ";"Tyndale, William.  An answere vnto Sir Thomas Mores dialoge made by Vvillyam Tindale. First he declareth what the church is, and geveth a reason of certayne wordes which Master More rebuketh in the tra[n]slacion of the newe Testament. After that he answereth particularlye vnto everye chaptre which semeth to haue anye apperaunce of truth thorow all his .iiij. bokes Antwerp: S. Cock, 1531.  101 verso.";"  Hohl Regula"
" [Aside] A little more than kin, and less than kind.";"provisional";"Thomas Norton / Sir Thomas Sackville";"Gorboduc";"Anon.  The Tragidie of Ferrex and Porrex set forth without addition or alteration but altogether as the same was shewed on stage before the Queenes Majestie [...]. London: John Day, 1570.  A3 verso; act 1, scene 1 [normalized spelling].";"1562";"1562";"1562";"1562";"English";"[Ferrex:] Mine know I none, but grief for your distress: <br>
[Viden:] Yes: mine for thine my son: A father? no: <br>
<span class=""quote"">In kind a Father, but not in kindliness.</span> <br>
[Ferrex:] My Father: why? I know nothing at all, <br>
Wherein I have misdone unto his Grace.";"";"#008011 LONDON_Inner Temple";"@000351 Gorboduc";"";"WoPu#030148 kin and kind";"Work unmarked";"Author unmarked";"Tragedy";"";"Dialogue";"BODY OF TEXT";"Local reference";"Electronic search (Fulltext database_Literature)";"@010001-Last accessed 10 September 2007.";"[Ferrex:] Myne know I none, but griefe for your distresse: <br>
[Viden:] Yes: myne for thyne my sonne: A father? no: <br>
<span class=""quote"">In kynde a Father, but not in kyndlynes.</span> <br>
[Ferrex:] My Father: whie? I knowe nothynge at all, <br>
Wherin I haue misdone vnto his Grace.";"Anon.  The Tragidie of Ferrex and Porrex set forth without addition or alteration but altogether as the same was shewed on stage before the Queenes Majestie [...]. London: John Day, 1570.  A3 verso; act 1, scene 1.";"Quassdorf Sixta"
" say an old man is twice a child.";"provisional";"John Higgins";"Cordila";"Higgins, John.  ""Cordila."" Parts Added to The Mirror for Magistrates: By John Higgins & Thomas Blenerhasset. Edited from original texts in The Huntington Library by Lily B. Campbell. Cambridge: Cambridge University Press, 1946. 145-160.  147; lines 57-63 [normalized spelling].";"1574";"1574";"1574";"1602";"English";"Yet nevertheless, my father did me not mislike: <br>
But age so simple is, and easy to subdue: <br>
As childhood weak, that's void of wit and reason quite: <br>
They think there's nought, you flatter feigned, but all is true: <br>
<span class=""quote"">Once old and twice a child,</span> 'tis said with you, <br>
Which I affirm by proof, that was defined: <br>
In age my father had a childish mind.";"";"";"@005100 Cordila";"";"WoPh_GenMen#030414 an old man is twice a child";"Work unmarked";"Author unmarked";"Poetry unspecified";"";"First-person narrator";"BODY OF TEXT";"Local reference";"Electronic search (Fulltext database_Literature)";"@010001-Last accessed 10 June 2009.";"Yet nathelesse, my father did me not mislike: <br>
But age so simple is, and easye to subdue: <br>
As childhode weake, thats voide of wit and reason quite: <br>
They thincke thers nought, you flater fainde, but all is true: <br>
<span class=""quote"">Once olde and twice a childe,</span> tis said with you, <br>
Which I affirme by proofe, that was definde: <br>
In age my father had a childishe minde.";"Higgins, John.  ""Cordila."" Parts Added to The Mirror for Magistrates: By John Higgins & Thomas Blenerhasset. Edited from original texts in The Huntington Library by Lily B. Campbell. Cambridge: Cambridge University Press, 1946. 145-160.  147; lines 57-63.";"Gebhard Christian"
" But he's an arrant knave.";"provisional";"_ Anon";"A Merry Jest of a Shrewd and Cursed Wife";"Anon.  Merry jeste of a shrewde and curste wyfe, lapped in morrelles skin, for her good behavyour. London: H. Jackson, 1580.  F3 recto [normalized spelling].";"1580";"1580";"1580";"1580";"English";"Father and mother was welcome then, <br>
And so were they all in good faith: <br>
The husband sat there like a man, <br>
The wife did serve them all that day. <br>
The good man commanded what he would have, <br>
The wife was quick at hand, <br>
What now thought the mother, <span class=""quote"">this arrant knave,</span> <br>
Is master as I understand. ";"";"";"@005077 A Merry Jest of a Shrewd and Cursed Wife";"";"WoPh#030073 arrant knave";"Work unmarked";"Author unmarked";"Prose unspecified";"";"Narrator";"BODY OF TEXT";"Local reference";"Electronic search (Fulltext database_Literature)";"@010001
LION";"Father and mother was welcome then, <br>
And so were they all in good fay: <br>
The husband sate there like a man, <br>
The wyfe did serue them all that day. <br>
The good man commaunded what he would haue, <br>
The wyfe was quick at hand, <br>
What now thought the mother, this arrant knaue,<br>
Is mayster as I vnderstand. ";"Anon.  A merry Ieste of a shrewde and curste Wyfe. Howe the good man did byd her Father and Mother to guest, and many of his neyghbours that they might see his wiues pacyence. 1580.  F3 recto.";"Tranter Maria"
" For who would bear the whips and scorns of time,";"provisional";"Thomas Kyd";"Ur-Hamlet";"Kyd, Thomas.  Ur-Hamlet. London: 1588.";"1588";"1588";"1588";"1588";"English";"[...] There are things called <span class=""quote"">whips in store.</span>";"<i>Ur-Hamlet</i> is the name given to a play, now lost, that was possibly extant before 1589. Its protagonist is ""alleged to have said"" this phrase. However, it ""looks suspiciously like a misquotation from one of the late additions to <i>The Spanish Tragedy</i>[...]. Perhaps Armin, who quotes the phrase, may have confused the two plays."" Cf. Kenneth Muir. The Sources of Shakespeare's Plays. London: Methuen, 1977. 158.";"#008000 LONDON_Unknown venue";"@000814_A88 [Ur-]Hamlet";"Richard Burbage";"WoPh_CulRel#030050 whips of steel or wire in hell";"Work unmarked";"Author unmarked";"Tragedy";"";"Dialogue";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010045
Muir, Kenneth. The Sources of Shakespeare's Plays. London: Methuen, 1977.";"";"";"  Hohl Regula"
" 'the croaking raven doth bellow for revenge.'";"provisional";"_ Anon";"The True Tragedy of Richard III";"Anon.  The True Tragedie of Richard the third. Wherein is showne the death of Edward the fourth, with the smothering of the two yoong Princes in the Tower: With a lamentable ende of Shores wife, an example for all wicked women. And lastly, the coniunction and ioyning of the two noble Houses, Lancaster and Yorke. As it was played by the Queenes Maiesties Players. London: Thomas Creede, 1594.  H1 verso; lines 1707-1729 [normalized spelling].";"1589";"1589";"1589";"1589";"English";"[King:] The hell of life that hangs upon the Crown, <br>
The daily cares, the nightly dreams, <br>
The wretched crewe, the treason of the foe, <br>
And horror of my bloody practise past, <br>
Strikes such a terror to my wounded conscience, <br>
That sleep I, wake I, or whatsoever I do, <br>
Methinks their ghosts comes gaping for revenge, <br>
Whom I have slain in reaching for a Crown. <br>
Clarence complains, and crieth for revenge. <br>
<span class=""quote"">My Nephew's bloods, Revenge, revenge, doth cry. <br>
The headless Peers comes preasing for revenge. <br>
And every one cries, let the tyrant die</span>. <br>
The Sun by day shines hotly for revenge. <br>
The Moon by night eclipseth for revenge. <br>
The stars are turnd to Comets for revenge. <br>
The Planets change their courses for revenge. <br>
The birds sing not, but sorrow for revenge. <br>
The silly lambs sits bleating for revenge. <br>
<span class=""quote"">The screeking Raven sits croaking for revenge</span>. <br>
Whole heads of beasts comes bellowing for revenge. <br>
And all, yea all the world I think, <br>
Cries for revenge, and nothing but revenge. <br>
But to conclude, I have deserved revenge.";"";"";"@000839_A94_D94 The True Tragedy of Richard III";"";"SuMe#030032 Revenge / SuId_NatBir#030129 raven doth bellow revenge";"Work unmarked";"Author unmarked";"Tragedy";"";"Dialogue";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010112
Garber, Marjorie. Shakespeare's Ghost Writers: Literature as Uncanny Causality. New York and London: Methuen, 1987. ";"[King:] The hell of life that hangs vpon the Crowne, <br>
The daily cares, the nightly dreames, <br>
The wretched crewes, the treason of the foe, <br>
And horror of my bloodie practise past, <br>
Strikes such a terror to my wounded conscience, <br>
That sleepe I, wake I, or whatsoeuer I do, <br>
Meethinkes their ghoasts comes gaping for reuenge, <br>
Whom I haue slaine in reaching for a Crowne. <br>
Clarence complaines, and crieth for reuenge. <br>
My Nephues bloods, Reuenge, reuenge, doth crie. <br>
The headlesse Peeres comes preasing for reuenge. <br>
And euery one cries, let the tyrant die. <br>
The Sunne by day shines hotely for reuenge. <br>
The Moone by night eclipseth for reuenge. <br>
The stars are turnd to Comets for reuenge. <br>
The Planets chaunge their coursies for reuenge. <br>
The birds sing not, but sorrow for reuenge. <br>
The silly lambes sits bleating for reuenge. <br>
<span class=""quote"">The screeking Rauen sits croking for reuenge</span>. <br>
Whole heads of beasts comes bellowing for reuenge. <br>
And all, yea all the world I thinke, <br>
Cries for reuenge, and nothing but reuenge. <br>
But to conclude, I haue deserued reuenge.";"Anon.  The True Tragedie of Richard the third. Wherein is showne the death of Edward the fourth, with the smothering of the two yoong Princes in the Tower: With a lamentable ende of Shores wife, an example for all wicked women. And lastly, the coniunction and ioyning of the two noble Houses, Lancaster and Yorke. As it was played by the Queenes Maiesties Players. London: Thomas Creede, 1594.  H1 verso; lines 1707-1729.";"  Hohl Regula"
" I do not know from what part of the world";"unedited";"Edmund Spenser";"The Faerie Queene";"Spenser, Edmund.  The Faerie Queene. Eds. Thomas P. Roche and C. Patrick O'Donnell. Harmondsworth: Penguin, 1987.  719; book 4, canto 12, stanza 24 [normalized spelling].";"1590";"1590";"1590";"1590";"English";"Now with<span class=""quote""> fair speeches</span>, now with threatenings stern [...].";"";"";"@005017 The Faerie Queene";"";"WoPh#004408 speeches fair";"Work unmarked";"Author unmarked";"Epic and verse narrative";"";"Narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Literature)";"@010118-90.
Hunter, William B. et al., eds.  A Milton Encyclopedia. Lewisburg: Bucknell University Press and London: Associated University Presses, 1978-1983.  90.";"Now with faire speches, now with threatnings sterne";"Spenser, Edmund.  The Faerie Queene. Eds. Thomas P. Roche and C. Patrick O'Donnell. Harmondsworth: Penguin, 1987.  719; book 4, canto 12, stanza 24.";"  Hohl Regula"
" I do not know from what part of the world";"unedited";"William Shakespeare";"Henry VI Part 3";"Shakespeare, William.  Henry VI Part 3.  Act 1, scene 1, line 247.";"1591";"1591";"1591";"1591";"English";"[Queen Margaret:] Stern Falconbridge commands <span class=""quote"">the Narrow Seas </span>[…].";"";"";"@000902_A91_D95 Henry VI Part 3";"";"WoPh_NatLan#032072 narrow seas";"Work unmarked";"Author unmarked";"Theatre";"";"Dialogue";"BODY OF TEXT";"Local reference";"Secondary (Annotated edition_Literature)";"@010017-13.
Marlowe, Christopher. Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933. 13.";"";"";"Heeg Stefanie"
" I do not know from what part of the world";"unedited";"William Shakespeare";"Henry VI Part 3";"Shakespeare, William.  Henry VI Part 3.  Act 3, scene 2, lines 18-20.";"1591";"1591";"1591";"1591";"English";"[Lady Grey:] Right gracious lord, I cannot brook delay. <br>
May it please your Highness <span class=""quote"">to resolve me now,<br></span>
And what your pleasure is shall satisfy me.";"";"";"@000902_A91_D95 Henry VI Part 3";"";"WoPh#005180 resolve = solve a doubt";"Work unmarked";"Author unmarked";"Theatre";"";"Dialogue";"BODY OF TEXT";"Local reference";"Secondary (Annotated edition_Literature)";"@010002-110.
Ribner, Irving,  ed. Cyril Tourneur. The Atheist's Tragedy, or The Honest Man's Revenge. London: The Broadwater Press, 1964.  110.";"";"";"  Hohl Regula"
" I do not know from what part of the world";"unedited";"William Shakespeare";"Henry VI Part 3";"Shakespeare, William.  Henry VI Part 3.  Act 1, scene 4, lines 140-";"1591";"1591";"1591";"1591";"English";"[York:] [...] <span class=""quote"">O, tiger's heart wrapped in a woman’s hide,<br></span>
How couldst thou drain the lifeblood of the child<br>
To bid the father wipe his eyes withal,<br>
And yet be seen to bear a woman’s face?<br>
Women are soft, mild, pitiful, and flexible;<br>
Thou, stern, obdurate, <span class=""quote"">flinty, </span>rough, remorseless.<br>
Bidd'st thou me rage? Why, now thou hast thy wish.<br>
Wouldst have me <span class=""quote"">weep? </span>Why, now thou hast thy will;<br>
<span class=""quote"">For raging wind blows up incessant showers,<br></span>
And when the rage allays, the rain begins.<br>
These <span class=""quote"">tears </span>are my sweet Rutland's obsequies,<br>
And every drop cries vengeance for his death<br>
'Gainst thee, fell Clifford, and thee, false Frenchwoman! [...]<br>
[York:] That face of his the hungry cannibals<br>
Would not have touched, would not have stained with blood;<br>
But you are more inhuman, more inexorable,<br>
O, ten times more than <span class=""quote"">tigers of Hyrcania.<br></span>
See, ruthless <span class=""quote"">queen, </span>a hapless father's <span class=""quote"">tears.<br></span>
This cloth thou dippedst <span class=""quote"">in blood </span>of my sweet boy,<br>
And I with <span class=""quote"">tears do wash the blood away.</span>";"This passage represents several elements of the ""Tiger Cluster"", a combination of images which recurs in Shakespeare's plays and may be derived from his reading of Virgil's <i>Aeneid</i> (cf. Barbara Sträuli.  ""Word and Image Clusters in Shakespeare."" Swiss Papers in English Language and Literature (SPELL) 3 The Structure of Texts (1987): 133-157, esp. 145. https://www.e-periodica.ch/cntmng?pid=spe-001:1987:3::281).";"";"@000902_A91_D95 Henry VI Part 3";"";"WoPh_NatAni#230186 tiger's heart wrapped in woman's hide / CuTi_NatAni#004080 ravenous (Hyrcanian) tiger / CuTi_NatLan#004084 rock or marble (heart) / CuTi#004085 queen or mother / CuTi#004181 weeping / CuTi_NatSky#004220 wind";"Work unmarked";"Author unmarked";"Theatre";"";"Dialogue";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010000-1:3.
Munro, John, Clement Mansfield Ingleby et al., eds. The Shakspere Allusion-Book: A Collection of Allusions to Shakspere from 1591 to 1700 [...]. London: Chatto and Windus; New York: Duffield and Co. 1909. 3.";"";"";"  Hohl Regula"
