"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" O, what a rogue and peasant slave am I!";"provisional";"_ Anon.";"Robin Hood Rescuing Will Stutly";"Anon.  <i>English and Scottish Ballads. </i>Ed. Francis James Child. 8 vols. London: Sampson, Low and Co., 1861.  Vol. 5, 283-289, esp. 287; ""Robin Hood Rescuing Will Stutly"". ";"1300";"1500";"1300";"1500";"English";"""O dastard Coward"", Stutly cries,<br>
Faint-hearted, <span class=""quote"">peasant slave!</span>";"";"";"@005012 English and Scottish Ballads";"";"WoPh#034463 peasant slave";"Work unmarked";"Author unmarked";"Song or ballad";"";"Dialogue";"BODY OF TEXT";"Local reference";"Electronic search (Fulltext database_Literature)";"@010054
ECCO";"";"";"  Hohl Regula"
" How should I your true love know";"provisional";"_ Anon.";"As I Came from Walsingham";"Anon.  <i>English and Scottish Ballads. </i>Ed. Francis James Child. 8 vols. London: Sampson, Low and Co., 1861.  Vol. 4, 192-194, esp. 192; ""As I Came from Walsingham"". ";"1300";"1500";"1300";"1500";"English";"I. ""As you came from that holy land<br>
Of Walsingham,<br>
Met you not with my true love<br>
By the way as you came?""<br><br>

II. <span class=""quote"">""How should I, Sir, your true love know,<br></span>
That have met many a one<br>
As I came from that holy land,<br>
That have come, that have gone?""";"";"";"@005012 English and Scottish Ballads";"";"WoPh#030671 true love know how";"Work unmarked";"Author unmarked";"Song or ballad";"";"First-person narrator";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare) / Secondary (Annotated edition_Shakespeare)";"@010069-108./@010082/@010151-186./@006323-Last accessed 20 February 2020.
Sternfeld, F. W.  ""Ophelia's Version of the Walsingham Song."" Music and Letters 45:2 (April 1964): 108-113.  108.<br>
Shakespeare, William.  Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.<br>
Anders, H. R. D.  Shakespeare's Books. Berlin: Georg Reimer, 1904.  186.";"";"";"  Hohl Regula"
" Thou know'st 'tis common; all that lives must die,";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  <i>Adagia quaecumque ad hanc diem exierunt.</i> Venice: Hieronimus Polus, 1578.  1393.";"1500";"1536";"1500";"1536";"Latin";"<span class=""quote""><i>Mors omnibus communis</i></span>";"";"";"@005014 Adagia";"";"SuId#030149 all that lives must die";"Work unmarked";"Author unmarked";"Anthology";"";"";"TITLE / ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare)";"@010050
Smith, Charles G. Shakespeare's Proverb Lore: His Use of the Sententiae of Leonard Culman and Publilius Syrus. Cambridge (MA): Harvard University Press, 1963.";"";"";"  Hohl Regula"
" With an auspicious and a dropping eye,";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  Adagia quaecumque ad hanc diem exierunt. Venice: Hieronimus Polus, 1578.  1418.";"1500";"1536";"1500";"1536";"Latin";"<i><span class=""quote"">Gaudium dolori junctum </span></i>";"";"";"@005014 Adagia";"";"WoPh#032267 auspicious and dropping eye";"Work unmarked";"Author unmarked";"Anthology";"";"";"TITLE / ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare) / Secondary (Academic_Literature) / Secondary (Scholarly database_Literature)";"@010076/@010050/@006323-Last accessed 10 March 2020.";"";"";"  Hohl Regula"
" For who not needs shall never lack a friend,";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  Adagia quaecumque ad hanc diem exierunt. Venice: Hieronimus Polus, 1578.  1253.";"1500";"1536";"1500";"1536";"Latin";"<i><span class=""quote"">Felicitas multas habet amicos </span></i>";"";"";"@005014 Adagia";"";"SuMe#230123 lucky people have many friends";"Work unmarked";"Author unmarked";"Anthology";"";"";"ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare)";"@010076";"";"";"  Hohl Regula"
" Let him bless thee too.";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  Adagia quaecumque ad hanc diem exierunt. Venice: Hieronimus Polus, 1578.  984.";"1500";"1536";"1500";"1536";"Latin";"<span class=""quote""><i>Summum jus, summa iniuria.</i></span>";"";"";"@005014 Adagia";"";"SuId#004102 too much good becomes bad";"Work unmarked";"Author unmarked";"Anthology";"";"";"ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare)";"@010050-183./@010076-200";"";"";"  Hohl Regula"
" When sorrows come, they come not single spies";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  Adagia quaecumque ad hanc diem exierunt. Venice: Hieronimus Polus, 1578.  1408.";"1500";"1536";"1500";"1536";"Latin";"<span class=""quote""><i>Malis mala succedunt</i></span>";"";"";"@005014 Adagia";"";"SuId#030698 misfortunes dont come singly";"Work unmarked";"Author unmarked";"Anthology";"";"";"ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare)";"@010050";"";"";"  Hohl Regula"
" And, like a man to double business bound,";"provisional";"Desiderius Erasmus";"Adagia";"Erasmus, Desiderius.  Adagia quaecumque ad hanc diem exierunt. Venice: Hieronimus Polus, 1578.  1194.";"1500";"1536";"1500";"1536";"Latin";"<span class=""quote""><i>Duos insequens lepores, neutrum capit </span></i>";"";"";"@005014 Adagia";"";"SuId#230185 cannot follow two things";"Work unmarked";"Author unmarked";"Anthology";"";"";"TITLE / ANTHOLOGY ENTRY";"MQ_GENRE";"Secondary (Academic_Shakespeare)";"@010050";"";"";"  Hohl Regula"
" Let him bless thee too.";"provisional";"John Colet / Desiderius Erasmus / William Lily";"A Short Introduction of Grammar";"Colet, John, Desiderius Erasmus and William Lyly.  A short introduction of grammar generally to be vsed: compiled and set forth for the bringing vp of all those that intend to attaine to the knowledge of the Latine tongue. Cambridge: Cantrell Legge, 1621.  E5 verso.";"1515";"1515";"1515";"1515";"Latin";"<span class=""quote"">Subdistinctio seu Comma, </span>est silentij nota, seu poti∣ùs respirandi locus, vtpore qua pronuntiationis ter∣minus, sensu manente, ita suspenditur, vt quod se∣quitur, continuò succedere debeat.";"* Translation: A subdistinction or Comma, is a note of silence, or rather a place of breathing; as whereby the term of pronunciation, the sentence still remaining, is so suspended: as that that which followeth ought presently to succed.";"";"@005370 Short Introduction of Grammar";"";"SuId#039022 comma between love";"Work unmarked";"Author unmarked";"Educational";"Linguistics";"";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010152-1:574.
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944. ";"";"";"  Hohl Regula"
" Let him bless thee too.";"unedited";"Desiderius Erasmus";"Colloquia Familiaria";"Erasmus, Desiderius.  <i>Colloquia Familiaria et Moriae Encomium. </i>Leipzig: Otto Holtz, 1892.  194-202, esp. 194; dialogue ""Naufragium"".";"1522";"1533";"1522";"1533";"Latin";"[Adolphus:] <span class=""quote"">vidistine umquam Alpes?<br></span>
[Antonius:] <span class=""quote"">vidi <br></span>
[Adolphus:] <span class=""quote"">ill montes verrucae sunt, si conferantur ad undas marinas.</span>";"";"";"@005495 Colloquia Familiaria";"";"WoPh#030353 Ossa like wart";"Work unmarked";"Author unmarked";"Educational";"";"";"BODY OF TEXT";"Local reference";"Secondary (Academic_Shakespeare)";"@010140
Thomson, J. A. K. Shakespeare and the Classics. London: George Allen and Unwin, 1952.";"";"";"  Hohl Regula"
