"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" And do't the speedier, that you may direct me";"unedited";"Decimus Iunius Juvenalis";"the";"Juvenalis, Decimus Junius. ???";"";"";"";"";"Latin";"<span class=""quote"">Difficile est satiram non scribere.</span>";"";"";"";"";"#002258 difficile est satiram non scribere";"Unmarked";"Unmarked";"Verse satire";"tbe";"Dialogue";"Body of text";"";"Reading";"";"";"";"  Hohl Trillini Regula"
" What's Hecuba to him, or he to Hecuba,";"provisional";"_ Homer";"The Iliad";"Homer. The Iliad. Trans. Samuel Butler. book 6, lines 449ff. Quoted from: http://en.wikisource.org/wiki/The_Iliad/Book_VI. 1 February 2011.";"-800";"-700";"-800";"-700";"Classical Greek";"Well do I know that the day will surely come when mighty Ilius shall be destroyed with Priam and Priam's people, but <span class=""quote"">I grieve for none of these - not even for Hecuba, </span>nor King Priam, nor for my brothers many and brave who may fall in the dust before their foes - for none of these do I grieve as for yourself when the day shall come on which some one of the Achaeans shall rob you for ever of your freedom, and bear you weeping away.";"";"";"@006001 The Iliad";"motif with name";"#002185 MOTIF WITH NAME - what's he to Hecuba";"Unmarked";"Unmarked";"Epic and verse narrative";"";"Dialogue";"Body of text";"Local reference";"Secondary (Anthology)";"@010202 
 der Citatenschatz des deutschen Volkes, gesammelt und erläutert von Georg Büchmann. Fortgesetzt von Walter Robert-tornow [sic]. 21. vermehrte und verbesserte Auflage bearbeitet von Eduard Ippel. Berlin: Verlag der Hande und Spenerschen Buchhandlung, 1903. ";"";"";"  Hohl Trillini Regula"
" Or to take arms against a sea of troubles,";"ok";"_ Aischylos";"The Persians";"line 433";"-472";"-472";"";"";"Classical Greek";"<span class=""quote"">A mighty sea of troubles </span>has burst upon the Persians (pelagos kakon)";"";"";"@006002 The Persians";"2-word phrase";"#000182 PHRASE sea of troubles";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"";"Secondary (Shakespeare Studies)";"@0100030
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"";"";"  Hohl Trillini Regula"
" Or to take arms against a sea of troubles,";"unedited";"_ Aischylos";"Seven against Thebes";"Aischylos.  Seven Against Thebes.";"-467";"-467";"-467";"-467";"Classical Greek";"now <span class=""quote"">the sea of evils </span>pours its flood";"Anders, H. R. D. Shakespeare's Books. Berlin: Georg Reimer, 1904. 284. mentions kakon thalassa and kakon pelagos in general. From a translation in LION";"";"@006003 Seven Against Thebes";"2-word phrase";"#000182 PHRASE sea of troubles";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010151-284.
Anders, H. R. D. Shakespeare's Books. Berlin: Georg Reimer, 1904.  284.";"";"";"  Hohl Trillini Regula"
" He was a man, take him for all in all,";"unedited";"_ Sophocles";"Trachiniai";"Sophocles. Trachiniai.";"-450";"-430";"";"";"Classical Greek";"[paulon ariston andra ton epi chtoni <br>
Kteinas, OPOION ALLON OTK OPSEI POTE] 824. /";"";"";"@006004 Trachiniai";"pending";"#000099 SETPIECE - speech how great sb was";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Annotated edition) / Secondary (Shakespeare Studies)";"@010152-2:330./@005246-185.
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944. 2, 330.<br>
Hurd, Richard, ed. Q. Horatii Flacci epistola ad Augustum. With an English commentary and notes. To which is added, a discourse concerning poetical imitation [...]. London: W. Thurlbourn and R. Dodsley, 1751.";"";"";"  Hohl Trillini Regula"
" Or to take arms against a sea of troubles,";"unedited";"_ Euripides";"Hippolytus Crowned";"Euripides.  Hippolytus Crowned";"-428";"-428";"-428";"-428";"Classical Greek";"Wretched I see a <span class=""quote"">sea of eviles</span>,<br>So great that there's no hope of swimming out.";"";"";"@006005 Hippolytus Crowned";"2-word phrase";"#000182 PHRASE sea of troubles";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Secondary (Literary and Cultural Studies)";"Lowell, James Russell. Among My Books: Six Essays. London: Macmillan, 1870.";"";"";"  Hohl Trillini Regula"
" Give every man thy ear, but few thy voice;";"unedited";"_ Aristophanes";"The Wasps";"Aristophanes.  The Wasps.  725.";"-422";"-422";"-422";"-422";"Classical Greek";"prin an amphoin mython akouses, ouk an dikasais ";"";"";"@006006 The Wasps";"idea";"pending";"Unmarked";"Unmarked";"Comedy";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010050 SEC
Smith, Charles G.  Shakespeare’ Proverb Lore: His Use of the Sententiae of Leonard Culman and Publilius Syrus. Cambridge (Mass.): Harvard University Press, 1963.";"";"";"  Hohl Trillini Regula"
" Or to take arms against a sea of troubles,";"unedited";"_ Euripides";"Herakles";"Euripides.  Herakles.";"-421";"-416";"-421";"-416";"Classical Greek";"<span class=""quote"">pelagos kakon</span>";"";"";"@006007 Herakles";"2-word phrase";"#000182 PHRASE sea of troubles";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Literary and Cultural Studies)";"Lowell, James Russell. Among My Books: Six Essays. London: Macmillan, 1870.";"";"";"  Hohl Trillini Regula"
" As I do thee.--Something too much of this.--";"unedited";"_ Euripides";"Elektra";"Euripides.  Elektra.  Quoted in Schleiner, ""Latinized"" 40)";"-414";"-414";"-414";"-414";"Classical Greek";"Nothing in this world is better than a friend […] but I say no more, lest I embarrass you.";"";"";"@0060 08 Elektra (Euripides)";"";"pending";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010224";"";"";"  Hohl Trillini Regula"
" O my prophetic soul! My uncle!";"provisional";"_ Euripides";"Andromeda";"Euripides. Andromeda.";"-412";"-412";"-412";"-412";"Classical Greek";"[Peleus:]  [...] <span class=""quote""> promantis thumos</span> [...].";"";"";"@006011 Andromeda (Euripides)";"";"#000116 PHRASE prophetic soul";"Unmarked";"Unmarked";"Theatre";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Literary and Cultural Studies)";"Lowell, James Russell. Among My Books: Six Essays. London: Macmillan, 1870.";"";"#00116_0";"  Hohl Trillini Regula"
" Thou know'st 'tis common; all that lives must die,";"unedited";"_ Sophocles";"Elektra";"Sophocles.  Elektra.  860.";"-410";"-405";"";"";"Classical Greek";"pasi thanatos epsü moros
";"cf. Udall 23:52 and Tilley D142";"";"@006010 Elektra (Sophocles)";"";"#000221 all that lives must die";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010050/@010152
Smith, Charles G. Shakespeare’ Proverb Lore: His Use of the Sententiae of Leonard Culman and Publilius Syrus. Cambridge (Mass.): Harvard University Press, 1963.<br>
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944.";"";"";"  Hohl Trillini Regula"
" Taint not thy mind, nor let thy soul contrive";"unedited";"_ Euripides";"Orestes";"Euripides.  Orestes.";"-408";"-408";"-408";"-408";"Classical Greek";"suggest that the revisionist idea for an Orestean yet after all non-matricidal avenger son came from the following passage of Euripides' Orestes, spoken by the hero in a lucid interval between fits of mouth-foaming madness and torment by the furies: I think now if I had asked my dead father at the time [i.e., at the grave] if I should kill her, he would have begged me, gone down on his knees before me, and pleaded, implored me not to take my mother's life. (Orestes, 11. 287-91)  Schleiner, Louise. ""Latinized Greek Drama in Shakespeare's Writing of Hamlet."" SQ 41.1 (Spring 1990): 29-48, esp. 35.";"";"";"@006009 Orestes (Euripides)";"";"pending";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"";"Secondary (Shakespeare Studies)";"@010224
Schleiner, Louise. ""Latinized Greek Drama in Shakespeare's Writing of Hamlet."" SQ 41.1 (Spring 1990): 29-48.";"";"";"  Hohl Trillini Regula"
" Be thou familiar, but by no means vulgar.";"provisional";"_ Isocrates";"Ad Demonicum";"Isocrates.  ""Ad Demonicum."" Transl. A8 verso-B verso. Ed. Henry Burrowes Lathrop. Translations from the Classics into English from Caxton to Chapman, 1477-1620. University of Wisconsin Studies in Language and Literature 35. Madison: University of Wisconsin, 1933. Quoted from: Thomas Whitfield Baldwin. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944.  Vol. 1, 605.";"-400";"-338";"-400";"-338";"Classical Greek";"<span class=""quote"">Be gentell and plesaunt to all men: be familiar but only with ye good. Become sloly a fre<i>n</i>de, but after you haue p<i>ro</i>fessed amite endeuour so to continue [...] Trie your friendes by aduersities as happeneth in this present lyfe [...] be to your familiars co<i>m</i>payghniable, and not haughty [...]. Be neate and clenly in your apparell: but not braue and sumptuous [...] Do your vter endeauor to lyue in safetie. But if it fortune you to come in perill, so defende yourselfe by batayle and force of armes, that it may redo<i>un</i>de to your re<i>n</i>oume.";"""It is the epistle to Demonicus, so seriously and so widely accepted, that is the ultimate source of Polonius' advice to Laertes."" Baldwin I, 605.
";"Polonius' advice to Laertes";"@006012 Ad Demonicum";"setpiece";"#005015 SETPIECE - Polonius advice to Laertes";"Unmarked";"Unmarked";"Not specified";"Sociology, society, lifestyle";"";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010152/@010016/@
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944. <br>
Beardsley Jr., Theodore S. ""Isocrates, Shakespeare, and Calderón: Advice to a Young Man."" Hispanic Review 42.2 (Spring 1974): 185-198.<br>
Waters Bennett, Josephine. ""Characterization in Polonius' Advice to Laertes."" SQ 4.1 (January 1953): 3-9.";"";"";"  Hohl Trillini Regula"
