"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" O, what a rogue and peasant slave am I!";"provisional";"_ 0_Anon";"Robin Hood Rescuing William Stutley";"Anon.  ""Robin Hood Rescuing William Stutley."" A collection of old ballads. Corrected from the best and most ancient copies extant. With introductions historical, critical, or humorous. Illustrated with copper plates. London: J. Roberts, 1723. 90-96.  95.";"1300";"1550";"1300";"1550";"English";"O dastard Coward, Stutly cries,<br>
Faint-hearted, <span class=""quote"">Peasant Slave!</span>";"This ballad was first published in the 1680s collection <i>Robin Hood's Garlands</i>.";"";"@005578 BALLAD";"pending";"#000063 peasant slave";"Unmarked";"Unmarked";"Song or ballad";"";"Dialogue";"Body of text";"Local reference";"Electronic search";"@010054
ecco";"";"";"  Hohl Trillini Regula"
" [Aside] A little more than kin, and less than kind.";"provisional";"Thomas Norton / Sir Thomas Sackville";"Gorboduc";"Norton, Thomas and Sir Thomas Sackville.  ""Gorboduc."" The Tragedie of Gorbodvc, where of three Actes were wrytten by Thomas Nortone, and the two laste by Thomas Sackuyle. Sett forthe as the same was shewed before the Qvenes most excellent Maiestie, in her highnes Court of Whitehall, the xviii. day of Ianuary, Anno Domini 1561. London: William Griffith, 1565.  N.p.; act 1, scene 1 [normalized spelling].";"1561";"1561";"1565";"1565";"English";"[Ferrex:] Mine know I none, but grief for your distress: <br>
[Viden:] Yes: mine for thine my son: A father? no: <br>
<span class=""quote"">In kind a Father, but not in kindliness.</span> <br>
[Ferrex:] My Father: why? I know nothing at all, <br>
Wherein I have misdone unto his Grace.";"";"@009000 Unknown / @008011 Inner Temple, London";"@000351 Gorboduc";"2 keywords";"#000103 kin and kind";"Unmarked";"Unmarked";"Tragedy";"tbe / need to fix biblio and normalised title after transfer";"Dialogue";"Body of text";"Local reference";"Electronic search";"@010001-Last accessed 10 September 2007.";"[Ferrex:] Myne know I none, but griefe for your distresse: <br>
[Viden:] Yes: myne for thyne my sonne: A father? no: <br>
<span class=""quote"">In kynde a Father, but not in kyndlynes.</span> <br>
[Ferrex:] My Father: whie? I knowe nothynge at all, <br>
Wherin I haue misdone vnto his Grace.";"Norton, Thomas and Sir Thomas Sackville.  The Tragedie of Gorbodvc, where of three Actes were wrytten by Thomas Nortone, and the two laste by Thomas Sackuyle. Sett forthe as the same was shewed before the Qvenes most excellent Maiestie, in her highnes Court of Whitehall, the xviii. day of Ianuary, Anno Domini. 1561. London: William Griffith, 1565.  N.p.; act 1, scene 1.";"Quassdorf Sixta"
" Let me not think on't--Frailty, thy name is woman!--";"provisional";"John Jewel";"On the State of Matrimony";"Jewel, John.  ""On the State of Matrimony."" The Two Books of Homilies. Appointed to Be Read in Churches. Ed. John Griffiths. Oxford: Oxford University Press, 1859. 500-515.  N.p.; homily 18.";"1571";"1571";"1571";"1571";"English";"<span class=""quote"">The woman is a weak creature </span>[...] <span class=""quote"">She is the weaker vessel, of a frail heat, inconstant </span>[...]. <span class=""quote"">The woman is the more frail part </span>[...]. <span class=""quote"">The woman is a frail vessel.</span>";"The insistence on the word ""frail"" is conspicuous; ""weaker vessel"" is the phrasing in 1 Peter 3, 7.";"";"@005017 Homily on the State of Matrimony";"idea with keyword(s)";"#000170 IDEA - woman frailty";"Unmarked";"Unmarked";"Not specified";"Philosophy, religion  / Sociology, society, lifestyle / tbe";"";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010030/@010020/@010131/@010064

Shaheen, Naseeb. Biblical References in Shakespeare's Plays. Newark: University of Delaware Press, 1999.<br>
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. <br>
Milward, Peter. ""The Homiletic Tradition in Shakespeare's Plays."" Shakespeare Studies 5 (1966-1967): 72-87.<br>
Rosinger, Lawrence. ""Hamlet and the Homilies."" Shakespeare Quarterly 26.3 (Summer 1975): 299-301.";"";"";"  Hohl Trillini Regula"
" Let him bless thee too.";"unedited";"Robert Wilson";"The Three Ladies of London";"Wilson, Robert.  A right excellent and famous Comoedy called the three Ladies of London. [...] London: Printed by Roger Warde 1584.  Prologue, line 5 [normalized spelling].";"1581";"1581";"1581";"1581";"English";"[Prologue] We search not<span class=""quote""> Plutos pensive </span>pit, nor taste of Limbo lake.";"";"@009025 Leicester's Men / @008002 The Theatre, London";"@000700 The Three Ladies of London";"";"#002249 Pluto&#039;s Grave";"";"Unmarked";"Moral";"";"Dialogue";"Body of text";"Local reference";"Secondary (Annotated edition)";"@010158-71. ";"[Prologue] We search not Plutos pensiue pit, nor tast of Limbo lake";"Wilson, Robert.  A right excellent and famous Comoedy called the three Ladies of London. [...] London: Printed by Roger Warde 1584.  Prologue, line 5.";" Heeg Stefanie"
" There's rosemary, that's for remembrance; pray,";"provisional";"Clement Robinson";"A Nosegay Always Sweet";"Robinson, Clement.  ""A Nosegay Always Sweet."" ""A Nosegaie alvvaies sweet, for Louers to send for Tokens, of loue, at Newyeres tide, or for fairings, as they in their minds shall be disposed to write."" A Handefull of pleasant delites. London: Richard Ihones et al., 1584.  N.p.; lines 25-28 [normalized spelling]. ";"1584";"1584";"1584";"1584";"English";"<span class=""quote"">Rosemary is for remembrance</span>, <br>
between us day and night: <br>
Wishing that I might always have, <br>
you present in my sight.";"";"";"@005612 A Nosegay Always Sweet";"2 keywords";"#000329 Rosemary for remembrance";"Unmarked";"Unmarked";"Not defined";"tbe / need to fix biblio and normalised title after transfer";"1st-person narrator";"Body of text";"Local reference";"Secondary (Annotated Shakespeare edition)";"@010082
Shakespeare, William. Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.";"<span class=""quote"">Rosemarie is for remembrance</span>, <br>
betweene vs daie and night: <br>
Wishing that I might alwaies haue, <br>
you present in my sight.";"Robinson, Clement.  ""A Nosegaie alvvaies sweet, for Louers to send for Tokens, of loue, at Newyeres tide, or for fairings, as they in their minds shall be disposed to write."" A Handefull of pleasant delites. London: Richard Ihones et al., 1584.  N.p.; lines 25-28. ";"  Hohl Trillini Regula"
" And with a sudden vigour doth posset";"provisional";"Timothy Bright";"Treatise of Melancholy";"Bright, Timothy.  Treatise of Melancholie. London: T. Vautrollier, 1586.  13 [normalized spelling].";"1586";"1586";"1586";"1586";"English";"[...] <span class=""quote"">the brain as tender as a posset curd</span> [...].";"In addition to such direct echoes (cf. references on HyperHamlet), Shakespeare ""seems to have used many of the traits of Bright's case-histories"" for Hamlet's symptoms of melancholy. Cf. Kenneth Muir. The Sources of Shakespeare's Plays. London: Methuen, 1977. 167.";"";"@005019 Treatise of Melancholy";"2 keywords";"#001126 posset + curd";"Unmarked";"Unmarked";"Not specified";"";"";"Body of text";"Local reference";"Secondary (Shakespeare Studies)";"@010030/@010074/@010030-13./@010200
Muir, Kenneth. The Sources of Shakespeare's Plays. London: Methuen, 1977.<br>
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1999. <br>
Wilson, Dover J.  What Happens in Hamlet? Cambridge: Cambridge University Press, 2003. 13.";"[...] <span class=""quote"">the braine as tender as a posset curd</span> [...].";"";"  Hohl Trillini Regula"
" Let him bless thee too.";"unedited";"Thomas Kyd";"The Spanish Tragedy";"Kyd, Thomas.  ""The Spanish Tragedy."" English Renaissance Drama: A Norton Anthology. Gen. ed. David Bevington. New York and London: W. W. Norton, 2002. 8-73.  3; act 1, scene 1, lines 63-66.";"1587";"1587";"1587";"1587";"English";"[Ghost:] [...] The left-hand path declining fearfully,<br>
Was ready downfall to the deepest hell.<br>
Where bloody furies shakes their <span class=""quote"">whips of steel</span>,<br>
And poor Ixion turns an endless wheel. ";"";"@009000 Unknown / @008000 Unknown, London";"@000783 The Spanish Tragedy";"image with keyword(s)";"#000152 whips of steel or wire in hell";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"Secondary (Literary and Cultural Studies)";"@010015-120./@010045
Skemp, Arthur Rowland. Nathanael Richards' tragedy of Messallina the Roman emperesse. Louvain: A. Uystpruyst, 1910.  120.";"[Ghost:] [...] The left hand path declining fearfully,<br>
Was ready downfall to the deepest hell.<br>
Where bloudie furies shakes their whips of steele,<br>
And poore Ixion turnes an endles wheele. ";"Kyd, Thomas.  The Spanish Tragedie, Containing the lamentable end of Don Horatio, and Bel-imperia: with the pittifull death of olde Hieronimo. Newly corrected and amended of such grosse faults as passed in the first impression. London: Edward Allde for Edward White, 1592.  N.p.; act 1, scene 1, lines 63-66.";"  Hohl Trillini Regula"
" Revenge his foul and most unnatural murder.";"provisional";"Thomas Kyd";"The Spanish Tragedy";"Kyd, Thomas.  ""The Spanish Tragedy."" English Renaissance Drama: A Norton Anthology. Gen. ed. David Bevington. New York and London: W. W. Norton, 2002.  8-73.";"1587";"1587";"1587";"1587";"HAS SEVERAL LEXIAS!";"<span class=""quote"">The Spanish Tragedy</span> (an early example of the <span class=""quote"">revenge tragedy </span>genre)";"A highly influential play which shares basic plot elements with <i>Hamlet</i>. It is also the only preserved earlier example of the genre ""revenge tragedy"".<br>
Date of composition and first performance unknown. ";"";"@000783 The Spanish Tragedy";"plot";"#000140 MOTIF - Revenge / @000783 BOOK - The Spanish Tragedy";"Unmarked";"Unmarked";"Tragedy";"";"";"Title";"Adaptation";"Secondary (Shakespeare Studies)";"@010147/@010036/@010081-80./@010000-2:19-20./@010005
Charnes, Linda. ""Dismember Me: Shakespeare, Paranoia, and the Logic of Mass Culture."" Shakespeare Quarterly 48.1 (Spring 1997): 1-16.<br>
Hunt, Marvin W. Looking for Hamlet. Basingstoke: Palgrave Macmillan, 2007.";"";"Kyd, Thomas.  The Spanish Tragedie, Containing the lamentable end of Don Horatio, and Bel-imperia: with the pittifull death of olde Hieronimo. Newly corrected and amended of such grosse faults as passed in the first impression. London: Edward Allde for Edward White, 1592.";"  Hohl Trillini Regula"
" Let him bless thee too.";"unedited";"Christopher Marlowe";"Tamburlaine Part 2";"Marlowe, Christopher.  ""The Second Part of Tamburlaine The Great."" The Complete Plays. Ed. J. B. Steane. London: Penguin 1986. 179-257.  257, act 5, scene 3, line 249.";"1587";"1587";"1587";"1587";"HAS SEVERAL LEXIAS!";"[Tamburlaine:] <span class=""quote"">For Tamburlaine, the scourge of God, must die.</span>";"";"";"@000789 Tamburlaine Part 2";"";"#002250 Tamburlaine must die / #004029 CHARACTER - Tamburlaine";"";"Unmarked";"";"";"";"";"";"Secondary (Annotated edition)";"@010158-75.";"";"";" Heeg Stefanie"
" Let him bless thee too.";"unedited";"George Peele";"The Battle of Alcazar";"Peele, George.  The Battell Of Alcazar. London: Edwarde Allde for Richard Bankworth, 1594.  N.p.; act 4, scene 1, lines 124-127 [normalized spelling].";"1588";"1588";"1588";"1588";"English";"[Muly Mahamet:] And honor of undoubted victory, <br>
Makes me exclaim upon this dastard flight.  <br>
Why, King Sebastian, wilt thou now<span class=""quote""> forslow</span>,  <br>
And let so great a glory slip thy hands?  ";"";"";"@000811 The Battle of Alcazar";"";"#002073 Forslow";"";"Unmarked";"";"";"";"";"";"Secondary (Annotated edition)";"@010158-114.";"[Muly Mahamet:] And honor of vndoubted victorie, <br>
Makes me exclime vpon this dastard flight.  <br>
Why king Sebastian, wilt thou now fore-slow,  <br>
And let so great a glorie slip thy hands?  ";"Peele, George.  The Battell Of Alcazar. London: Edwarde Allde for Richard Bankworth, 1594.  N.p.; act 4, scene 1, lines 124-127.";" Heeg Stefanie"
" Let him bless thee too.";"unedited";"George Peele";"The Battle of Alcazar";"Peele, George.  The Battell Of Alcazar. London: Edwarde Allde for Richard Bankworth, 1594.  N.p.; act 4, scene 1, lines 311-312 [normalized spelling].";"1588";"1588";"1588";"1588";"English";"[Muly Mahamet:] <span class=""quote"">A horse, a horse, villain, a horse <br>
That I may take the river straight and fly</span>.";"";"";"@000811 The Battle of Alcazar";"";"#000026 my kingdom for a horse";"";"Unmarked";"";"";"";"";"";"Secondary (Annotated edition)";"@010158-122.";"[Muly Mahamet:] A horse, a horse, villaine a horse, <br>
That I may take the riuer straight and flie.";"Peele, George.  The Battell Of Alcazar. London: Edwarde Allde for Richard Bankworth, 1594.  N.p.; act 4, scene 1, lines 311-312.";" Heeg Stefanie"
