"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" O Jephthah, judge of Israel, what a treasure hadst thou!";"provisional";"_ 0_Anon";"Jephthah, Judge of Israel";"Anon.  ""Jephthah, Judge of Israel."" Reliques of Ancient English Poetry: consisting of Old Heroic Ballads, Songs, and other Pieces of our earlier Poets, (Chiefly of the Lyric kind.) Together with some few of later Date. Second Edition. Ed. Thomas Percy. London: J. Dodsley, 1767.  Vol 1, Book 2, 176-177 [normalized spelling].";"1300";"1550";"1300";"1550";"English";"Have you not heard these many years ago<br>
Jephthah was judge of Israel?<br>
<span class=""quote"">He had one only daughter and no more,<br>
The which he loved passing well;<br>
And as by lot,<br>
God wot,<br>
It so came to pass,<br></span>
As God’s will was. ";"";"";"@005578 BALLAD";"motif with name / setpiece";"#000266 MOTIF WITH NAME - Jephthahs daughter";"Other name";"Unmarked";"Song or ballad";"";"Narrator";"Body of text";"Local reference";"Annotated edition";"@005196
Percy, Thomas,  ed. Reliques of Ancient English Poetry: consisting of Old Heroic Ballads, Songs, and other Pieces of our earlier Poets, (Chiefly of the Lyric kind.) Together with some few of later Date. Second Edition. Ed. Thomas Percy. London: J. Dodsley, 1767.";"Have you not heard these many years ago<br>
Jeptha was judge of Israel?<br>
<span class=""quote"">He had one only daughter and no mo,<br>
The which he loved passing well;<br>
And as by lott,<br>
God wot,<br>
It so came to pass,<br></span>
As God’s will was. ";"Anon.  ""Jephthah, Judge of Israel."" Reliques of Ancient English Poetry: consisting of Old Heroic Ballads, Songs, and other Pieces of our earlier Poets, (Chiefly of the Lyric kind.) Together with some few of later Date. Second Edition. Ed. Thomas Percy. London: J. Dodsley, 1767.  Vol 1, Book 2, 176-177.";"Battilana Chantal"
" Let them come in.";"provisional";"_ 0_Anon";"The Murder of Abel";"Anon.  ""The Murder of Abel."" The Towneley Plays. Eds. Martin Stevens and A.C. Cawley. Early English Text Society. Oxford: Oxford University Press, 1994. Vol. 1, 12–25.  21 [normalized spelling].";"1300";"1400";"1300";"1400";"English";"[Cain kills Abel with a] <span class=""quote"">cheekbone </span>[...].";"";"";"@005201 The Murder of Abel";"";"#005172 MOTIF WITH NAME - Cain kills Abel with a bone";"Unmarked";"Unmarked";"Mystery play, classical myth  or other";"";"Dialogue";"Body of text";"Local reference";"Shakespeare Studies";"@010030
Shaheen, Naseeb Azeez.  Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987.";"[Cain kills Abel with a] <span class=""quote"">cheke bone</span>[...].";"Anon.  ""The Murder of Abel."" The Towneley Plays. Eds. Martin Stevens and A.C. Cawley. Early English Text Society. Oxford: Oxford University Press, 1994. Vol. 1, 12-25.  21.";"  Hohl Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"Thomas Usk";"The Testament of Love";"Usk, Thomas.  ""The Testament of Love."" The workes of Geffray Chaucer newlye printed, wyth dyuers workes whych were neuer in print before: as in the table more playnly doth appere. Cum priuilegio ad imprimendum solum. London: Richard Grafton for William Bonham, 1542.  Ppp6 recto-Qqq5 verso.";"1384";"1389";"1384";"1387";"English";"Also furthermore, who the understanding of prescience properly considereth through the same wise that anything be before wist, is said for to be coming it is pronounced there is nothing to fore wyst, but things coming, forewetinge is but of truth dpubt may not be wist, wherefore when I say the god to forewot anything, thorough necessity is that thing to be coming, al is one if I say if it shall be: but this necessity neither constraineth ne defendeth anything <span class=""quote"">to be or not to be </span>Therefore soothly if love is put to be, it is said of necessity to be, or else for it is put not to be it is affirmed not to be of necessity: not for the necessity coonstraineth or defendeth love to be or not to be [...].<br>

[Chapter 8] Than if witting & before witting of God putteth in necessity to all things which he wot or before wot ne thing after eternity, or else after any time he will or doth of liberty but all of necessity, which thing if thou wene it be against reason not through necessity <span class=""quote"">to be or not to be</span>, all things that God wot or before wot, <span class=""quote"">to be or not to be, </span>& yet nothyng defendeth anything to be wist or to be before wist of him in our wills or our doings to be done, or else coming to be for free arbitrement. ";"check page ref. should be in the Thynne edition of 1532???";"";"@005202 The Testament of Love";"to be or not to be";"#000141 to be or not to be";"Unmarked";"Unmarked";"Not specified";"tbe";"";"Body of text";"Local reference";"Shakespeare Studies";"@010154/@010005 
Greenfield, Sayre.  ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105:3 (2008): 510-534.<br>
Davenport, A.  ""Shakespeare and Nashe's  Pierce Pennilesse'."" Notes and Queries (September 1953): 371-374.";"Also ferthermore, who yt vnderstandyng of presciēce proprelyche cōsydreth thorow the same wyse that any thyng be afore wyst, is sayd for to be cōmyng it is pronoūced, there is nothing to forn wyst, but thyng cōmyng, forewetinge is but of trouth doute may not be wyst: wherfore whā I sey yt god toforne wot any thyng, thorow necessitie is thilke thyng to be cōmyng, al is one if I sey if it shalbe: but this necessitie neither cōstrayneth ne defēdeth any thing <span class=""quote"">to be or not to be </span>Therfore sothly yf loue is put to be, it is said of necessitie to be, or els for it is put not to be it is affirmed not to be of necessite: not for ye necessite cōstraineth or defēdeth loue to be or not to be [...].<br>

[Chapter 8] Thā yf wetyng & be∣fore wetyng of God putteth in necessite to al thinges whiche he wotte or before wotte ne thyng after eternitie, or els after any time he woll or dothe of libertie but all of necessitie, which thing if thou wene it be ayenst reason not thorowe necessitie <span class=""quote"">to be or not to be</span>, all thynge that God wot or before wot, <span class=""quote"">to be or not to be, </span>& yet nothyng defendeth any thing to be wyst or to be before wyst of hym in our wylles or oure doinges to be done, or els cōmynge to be for fre arbitriment. ";"";"  Hohl Trillini Regula"
" A mote it is to trouble the mind's eye.";"provisional";"Geoffrey Chaucer";"The Canterbury Tales";"Chaucer, Geoffrey.  ""The Canterbury Tales."" The Riverside Chaucer. Gen. ed. Larry D. Benson. Oxford: Oxford University Press; London: Humphrey Milford, 1933. 3-328.  95; ""The Man of Law's Tale"", lines 547-553 [normalized spelling].";"1387";"1387";"1390";"1390";"English";"But yet never Christian Britons so exiled <br>
That there near some that in their privacy <br>
Honoured Christ and heathen folk beguiled<br>
And near the castel such there dwelt three. <br>
That one of hem was blinde and might not see, <br>
But it were <span class=""quote"">with the eye of their mind</span> <br>
With which men see, after that they [have] been blind.";"";"";"@005200 The Canterbury Tales";"2-word phrase";"#001088 PHRASE minds eye";"Unmarked";"Unmarked";"Epic and verse narrative";"";"Narrator";"Body of text";"Local reference";"Electronic search (HyperHamlet Team)";"@010077-Last accessed 2 November 2007.
OED - Oxford English Dictionary (OED) http:/dictionary.oed.com/entrance.dtl ";"But yet nere Cristene Britons so exiled <br>
That ther nere somme that in hir priveteee <br>
Honoured Crist and hethen folk bigiled, <br>
And ny the castel swiche ther dwelten three. <br>
That oon of hem was blynd and myghte nat see, <br>
But it were <span class=""quote"">with thilke eyen of his mynde</span> <br>
With whiche men seen, after that they ben blynde.";"Chaucer, Geoffrey.  ""The Canterbury Tales."" The Riverside Chaucer. Gen. ed. Larry D. Benson. Oxford: Oxford University Press; London: Humphrey Milford, 1933. 3-328.  95; ""The Man of Law's Tale"", lines 547-553.";"  Hohl Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"Henry Parker";"Dives and Pauper";"Parker, Henry.  Diues and pauper. London: Wynkyn de worde, 1496. commandment 8, chapter 4 [normalized spelling].";"1470";"1470";"1493";"1493";"English";"For it is ordained that man by his speech should show things <span class=""quote"">to be or not to be </span>as he feeleth and thinketh in his heart [...].";"";"";"@005203 Dives and Pauper";"";"#000141 to be or not to be";"Unmarked";"Unmarked";"Bible or religious pamphlet";"Philosophy, religion  / tbe";"";"Body of text";"Local reference";"Electronic search (HyperHamlet Team)";"@010048
EEBO";"For it is ordeyned that man by his speche sholde shewe thynge <span class=""quote"">to be or not to be </span>as he feleth and thynketh in his hert [...].";"Parker, Henry.  Diues and pauper. London: Wynkyn de worde, 1496. commandment 8, chapter 4.";"  Hohl Trillini Regula"
" Let them come in.";"provisional";"Thomas, Lord Vaux";"The Aged Lover Renounceth Love";"Vaux, Thomas, Lord.  ""The Aged Lover Renounceth Love."" Songes and Sonettes. London: Henry Tottel, 1557. A Scolar Press Facsimile. Leeds: Scolar Press, 1966.  N.p.; stanza 8, lines 29-32. ";"1557";"1557";"1557";"1557";"English";"<span class=""quote"">A pickaxe and a spade,<br>
And eke a shrouding sheet;<br>
A house of clay for to be made<br>
For such a guest most meet.</span>";"The date of composition is being researched. The gravedigger's song is a ""parody of a song in Tottel’s Miscellany, generally attributed to Lord Vaux. [… 49] selected the three most melancholious verses of this song, which is a lengthy and curious rendering on lyric form of the old morality reading of everyman’s life."" Cf. George Kitchin. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931.48-49. ";"";"@005657 Songs and Sonnets";"setpiece";"#000752 pickaxe song";"Unmarked";"Unmarked";"Not defined";"";"1st-person narrator";"Body of text";"Local reference";"Shakespeare Studies / Literary and Cultural Studies / Anthology or other / Annotated Shakespeare edition";"@010028/@010082/@010151/@010026

Tulloch, Graham. The Language of Sir Walter Scott: A Study of His Scottish and Period Language. London: Andre Deutsch, 1980.<br>

Shakespeare, William. Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.<br>

Anders, H. R. D. Shakespeare's Books. Berlin: Georg Reimer, 1904.<br>

Kitchin, George. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931.";"";"";"Gebhard Christian"
" To be, or not to be: that is the question:";"provisional";"William Painter";"The Palace of Pleasure 2";"Painter, William.  ""The Palace of Pleasure 2."" The second Tome of the Palace of Pleasure, conteyning store of goodly Histories, Tragicall matters, and other Morall argument, very requisite for delighte and profit. Chosen and selected out of diuers good and commendable Authors. London: Henry Bynneman, 1567.  [274] ZZZ2 verso; tome 2, novel 27 ""The Lorde of Uirle"" [normalized spelling]. ";"1567";"1567";"1567";"1567";"English";"Be sure madame that you shall shortly see the end of him, which attendeth yet to bear so much as in him doth lie, the vehement love into another world, which maketh me to pray you to have pity on him, who (attending the rest and final sentence of his death or life) doth humbly kiss your white and delicate hands, beseeching god to give to you like joy as his is, who desireth to be,"" <br>
Wholly yours, <span class=""quote"">or not to be at all. </span><br>
Philiberto of Uirle.";"";"";"@005660 The Palace of Pleasure 2";"to be or not to be";"#000141 to be or not to be";"Unmarked";"Unmarked";"Unspecified";"need to fix biblio and normalised title after transfer";"Fictional letter or diary";"Body of text";"Local reference";"Shakespeare Studies";"@010020";"Be sure madame that you shall shortly see the end of him, which attendeth yet to beare so much as in him doeth lie, the vehement loue into an other world, which maketh me to pray you to haue pitie on him, who (attending the rest and final sentence of his death or life) doth humbly kisse your white and delicate hands, beseeching god to giue to you like ioy as his is, who desireth to be,"" <br>
Wholy yours, <span class=""quote"">or not to be at all. </span><br>
Philiberto of Uirle.";"Painter, William.  The second Tome of the Palace of Pleasure, conteyning store of goodly Histories, Tragicall matters, and other Morall argument, very requisite for delighte and profit. Chosen and selected out of diuers good and commendable Authors. London: Henry Bynneman, 1567.  [274] ZZZ2 verso; tome 2, novel 27 ""The Lorde of Uirle"". ";"  Hohl Trillini Regula"
" Why, then, 'tis none to you; for there is nothing";"provisional";"William Baldwin";"A Treatise of Moral Philosophy";"Baldwin, William.  A treatice of moral philosophy contaynynge the sayinges of the wise, wherin you may se the woorthy and pithy sayings of philosophers, emperors, kynges, and oratours [...]. First gathered [and] set forth by Wylliam Baudwin, and nowe once againe augmented, [and] ye third tyme enlarged by Thomas Paulfreyman, one of the gentlemen of the Queenes maiesties chappell [...]. London: Richard Tottyll, 1571.  218 recto [normalized spelling]. ";"1567";"1567";"1567";"1567";"English";"<span class=""quote"">Nothing unto a man is miserable, if he so think it: for all Fortune is good to him, that constantly with patience suffereth it.</span><br> Plato.";"";"";"@005661 A Treatise of Moral Philosophy";"2 keywords / idea";"#002175 good or bad if you think so";"Unmarked";"By full name";"Anthology or quotation dictionary";"Philosophy, religion ";"";"Anthology or dictionary entry";"Citation";"Shakespeare Studies";"@010152
Baldwin, Thomas Whitfield.  William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944.";"<span class=""quote"">Nothing vnto a man is miserable, if he so thinke it: for all Fortune is good to hym, that constantlye with pacience suffereth it.</span><br> Plato.";"Baldwin, William.  A treatice of moral philosophy contaynynge the sayinges of the wise, wherin you may se the woorthy and pithy sayings of philosophers, emperors, kynges, and oratours [...]. First gathered [and] set forth by Wylliam Baudwin, and nowe once againe augmented, [and] ye third tyme enlarged by Thomas Paulfreyman, one of the gentlemen of the Queenes maiesties chappell [...]. London: Richard Tottyll, 1571.  218 recto.";"  Hohl Trillini Regula"
" Let them come in.";"provisional";"Laurentius Grimaldius Goslicius";"The Counsellor";"Goslicius, Laurentius Grimaldius.  ""The Counsellor."" Laur. Grimalii Goslicii De optimo senatore libri 2: In quibus magistratuum officia, civium beata vita ... explicantur [...]. Basel, 1593.";"1568";"1568";"1568";"1568";"English";"[<span class=""quote"">Polonius' </span>name and character may have beeen ""suggested by Grimaldus Goslicius, the Polish statesman"" and author of the famous but ""dreary""  treatise ""De optimo senatore"" (1568), which appeared in four English translations (Kenneth Muir. The Sources of Shakespeare's Plays. London. Methuen, 1977. 168)].";"";"";"@005662 The Counsellor";"name or title";"#005020 CHARACTER - Polonius";"pending";"Unmarked";"Unspecified";"tbe / need to fix biblio and normalised title after transfer";"";"Name";"Local reference";"Shakespeare Studies";"@010095/@010045/@010093
Bullough, Geoffrey, ed. Narrative and Dramatic Sources of Shakespeare. London 1957-1975. vii, 44-45.<br>
Muir, Kenneth. The Sources of Shakespeare's Plays. London. Methuen, 1977.<br>
Bowers, R. H. ""Polonius: Another Postscript."" Shakespeare Quarterly 4 (1953): 362-364.";"";"";"  Hohl Trillini Regula"
" The pith and marrow of our attribute.";"provisional";"Sir Henry Billingsley";"The Elements of Geometry of Euclid";"Billingsley, Sir Henry.  Euclid. The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age [...]. London: John Day, 1570.  232; book 10 [normalized spelling].";"1570";"1570";"1570";"1570";"English";"These irrational lines and figures are the chiefest matter and subject, which is entreated of in all this tenth book: the knowledge, of which is deep, and secret, and pertaineth to the highest and most worthy part of Geometries, wherein standeth <span class=""quote"">the pith and marrow </span>of the whole science: the knowledge hereof bringeth light to all the books following, with out which they are hard and cannot be at all understood. ";"";"";"@005642 The Elements of Geometry of Euclid";"2-word phrase";"#000339 pith and marrow";"";"Unmarked";"Not specified";"Sciences, engineering, IT  / tbe";"";"Body of text";"";"Electronic search (HyperHamlet Team)";"@010077
OED";"These irrationall lines and figures are the chiefest matter and subject, which is entreated of in all this tenth booke: the knowledge, of which is deepe, and secret, and pertaineth to the highest and most worthy part of Geometries, wherein standeth <span class=""quote"">the pith and mary </span>of the hole science: the knowledge hereof bringeth light to all the bookes following, with out which they are hard and cannot be at all understoode. ";"Billingsley, Sir Henry.  Euclid. The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age [...]. London: John Day, 1570.  232; book 10.";"  Hohl Trillini Regula"
